time,Binance,Bitfinex,Coinbase,Bitflyer,Bittrex,Kraken,BitMEX
2018-09-27,,,,,,,
2018-09-28,,,,,,,
2018-09-29,,,,,,,
2018-09-30,,,,,,,
2018-10-01,,,,,,,
2018-10-02,,,,,,,
2018-10-03,,,,,,,
2018-10-04,,,,,,,
2018-10-05,,,,,,,
2018-10-06,,,,,,,
2018-10-07,,,,,,,
2018-10-08,,,,,,,
2018-10-09,,,,,,,
2018-10-10,902492518.9971428,290247140.8978571,83508695.34500001,31520821.471428573,44609060.232142866,82872835.42999999,996274758.9971429
2018-10-11,908878836.4171427,305921351.0028572,90543282.06857145,32460097.171428572,47270703.56000001,89384287.95071428,1034093573.6507143
2018-10-12,884352115.0592855,285998032.82500005,86683993.07928573,30056457.12642857,47001001.57500001,85189007.40142857,980727108.7821429
2018-10-13,858681345.1542856,265007877.41142863,84118942.2757143,28396230.794285715,45442262.02571429,81135647.62857142,930797981.6764287
2018-10-14,836250261.5521429,252505166.73857147,82448944.98785713,27657010.313571427,43565313.45285715,78775602.55857143,918748583.8628572
2018-10-15,897103567.5435715,315335320.52571434,93612072.95500001,31479850.98214286,45074685.1457143,95857322.44285715,976141682.7428572
2018-10-16,889579883.9985715,313044134.19428575,95566364.84357144,31723000.53714286,43622103.6507143,96687228.35357143,979251268.4378573
2018-10-17,899273558.6964287,304284467.15500003,96643781.01928572,31376031.630000003,43119810.80642859,92803568.26642857,943533493.7907144
2018-10-18,903549847.1414288,304934880.50142854,97777183.2507143,30634346.820714287,43232622.271428585,92872329.99571429,924203338.0378573
2018-10-19,896313554.3714287,299971145.3792857,97059603.30714287,30189468.66,42568322.57857144,91420694.36,905593688.6564287
2018-10-20,893732478.4585717,295516128.0264286,98078214.29142858,29881740.925,42102508.93285715,90664493.43999998,898434746.9235717
2018-10-21,883856346.4150002,292186275.9771429,98076230.26428571,29659670.462857146,42000543.20428572,89770745.22071429,895143692.3878574
2018-10-22,878183007.8178574,280936519.73857147,96662363.64571428,29295465.47357143,42903331.99857143,87029624.42214285,866993453.7600003
2018-10-23,877934383.6614287,281521694.38857144,96476104.00857142,29456627.604285717,44728275.19428571,87788282.03785713,858642664.6578575
2018-10-24,863843595.0742859,276891964.315,95364153.27571428,28027551.573571436,45482160.40571428,85950762.30928569,826732679.3428574
